character,nationality
Yoon Yeong-hee,South Korea
Ventriloquist,India
Dr. Scholz,German
Director General Mauch,German
American General,USA
King Kong,Thailand
Baldy,Thailand
New Aces,China
Chinese Rambo,China
Harry Truman,USA
Henry Stimson,USA
James F. Byrnes,USA
Leo Szilard,USA
Leslie Groves,USA
Anami Korechika,Japan
Suzuki Kantaro,Japan
George Marshall,USA
Mitsumasa Yonai,Japan
Togo Shigenori,Japan
Joseph Stalin,Russia
Winston Churchill,UK
Hirohito,Japan
King,USA
Little J,USA
Greg,USA
Heather,USA
Brenda,USA
Tommy,USA
Manny,USA
Crasher,USA
Ted,USA
Vikki,USA
Kimmy,USA
Rob,USA
Charles,USA
Tomo,Midlands
Marek,Poland
Maria,France
Eldest Sister,Vietnam
Middle Sister,Vietnam
Youngest Sister,Vietnam
Little Mouse,Vietnam
Quoc,Vietnam
Kien,Vietnam
Hai,Vietnam
Guillermo,Mexico
Yuri,Russia
Tommy,USA
Joel,USA
Bill,USA
Noel,USA
Natalie Burke,USA
Paul Niles,USA
Police Officer,USA
Ex-Cop,USA
Shalu,unknown
Saritaji,unknown
Nimmi,unknown
Dev Khanna,unknown
Dev's father,unknown
Samir,unknown
Wilma Rudolph,USA
Livio Berruti,Italy
Abebe Bikila,Ethiopia
John Henry Brennick,USA
Karen Brennick,USA
Director Poe,USA
D-Day,USA
Nino Gomez,USA
Stiggs,USA
Abraham,USA
Paul Sheridan,USA
Lona McLane,USA
Harry Wheeler,USA
Paddy Dolan,USA
Rick McAllister,USA
Lieutenant Eckstrom,USA
Ann Stewart,USA
Jacob,USA
Anna,UK
Simon,Unknown
Larry Trent,USA
Young Bear Cub,Canadian
Large Male Grizzly,Canadian
Trophy Hunters,Canadian
Partisans,Italy
Nuns,Italy
Solmaz Gholami,Iran
Arezou,Iran
Nargess,Iran
Pari,Iran
Elham,Iran
Detective Marco,Italy
Married Couple,Philippines
Kai/Sintai,Finland/China
Ronja/Pin Yu,Finland/China
Cho,China
Demon,Unknown
Christopher 'C-Dub' Wang,USA
JP Money,USA
Michael Wang,USA
Jennifer,USA
Gerald Harcourt,England
William,USA
Prabaka,India
Felix,USA
Bron,unkown
Luis,Spain
Anselmo,Spain
Angélica (adult),Spain
Angélica (child),Spain
Luis's Uncle,Spain
Veronique,Portugal
Anastásio Pires,Portugal
Gil Quintas,Portugal
Joaquim,Portugal
Lawrence,USA
Rita Gómez,Mexico
Tom,USA
Jerry,USA
Darnellia Russell,USA
Bill Resler,USA
Ken Luce,USA
Myachikov,Russia
Fedyaev,Russia
Proskudin,Russia
Vorobyov,Russia
Anna Pavlovna,Russia
Shailu,USA
KK,USA
Vidya,USA
Bull Morgan,white
Naneena,native
Dick Barrington,unknown
Trelua,native
Choi Ik-hyun,South Korea
Jo Beom-seok,South Korea
Heo Sam-shik,South Korea
Kim Pan-ho,South Korea
Jang Ju-im,South Korea
Choi Hyung-bae,South Korea
Miss Yeo,South Korea
Choi Joo-dong,South Korea
Émile Zola,France
Paul Cézanne,France
Captain Alfred Dreyfus,France
Colonel Picquart,France
Major Walsin-Esterhazy,Germany
Lucie Dreyfus,France
Maitre Labori,France
Professor Bertram Potts,USA
Sugarpuss O'Shea,USA
Byron,unknown
Will Tasker,unknown
Belitski,unknown
Matt Owens,unknown
Ariel,unknown
Coach Mike Lewis,USA
Mitchell Wahl,USA
Troy Power,USA
Steven Hoshaw,USA
Greg Hirshland,USA
Wayne Ravdjee,USA
Erick Anderson,USA
Raju,India
Radha,India
Anandan,India
Mill Foreman,India
Radha's In-laws,India
Teacher,India
Belle,unknown
Beast (Prince Adam),unknown
Lumiere,unknown
Cogsworth,unknown
Mrs. Potts,unknown
Angelique,unknown
Gaston,unknown
Forte,unknown
Fife,unknown
John,unknown
Ms. Merrywood,unknown
Tamara,unknown
Ticket-Keeper,unknown
Painted Doll,unknown
Twin,unknown
Hobo Clown,unknown
Scorpion,unknown
Magician,unknown
Wick,unknown
Fool,unknown
Tamer,unknown
Frog,unknown
Lucifer,unknown
Angel Dillard,USA
Brittany Barden,USA
Donn Teske,USA
Terry Fox,USA
Nick,USA
Agent Carver,USA
Kira,USA
Cassie,USA
Hook,USA
Victor,USA
Tom McLaughlin,Canada
Marc Lavigne,Canada
Helen Madigan,USA
U.S. President Stanfield,USA
Satyaveer Singh Randhawa,India
Nimmi,India
Mrs. P. P. Rathore,India
Brij Mohan,India
Manorama,India
Sheetal,India
Rathore,India
Sameera Rathore,India
Nitu,India
Lizzie Curry,USA
File,USA
Starbuck,USA
Mod,Thailand
Som,Thailand
Kam-pang,Thailand
Wa-wa,Thailand
Toey,Thailand
J.R. Collier,USA
Adela,Philippines
OFW Son,Philippines
Jail Son,Philippines
Daughter,Philippines
Ship's Captain,Unknown
Murderer,Unknown
Chris Gardner,USA
Linda,USA
Jay Twistle,USA
Lee,China
Duke Ellington,USA
Fredi Washington,USA
Joe Dolan,USA
Mike,USA
Lou,USA
Hackett,USA
Roman Empire,Roman Empire
Caesar-like Figure,Roman Empire
Early Islam,Islam
Genghis Khan,Mongol Empire
Spanish Conquistadors,Spain
French Revolutionaries,France
American Revolutionaries,USA
Nazi Germany,Germany
Native Americans,Native American
United States Military,USA
Taras Bulba,Cossack
Andrei,Cossack
Ostap,Cossack
Natalia Dubrov,Polish
General Burlap,UK
Colonel Kelsoe,UK
Queen Anne,UK
Queen Mary,UK
Tarzan,fictional
Jane,fictional
Boy,fictional
Buck Rand,USA
David,UK
Fraser,UK
Herman,USA
Lily,USA
Marilyn,USA
Grandpa,USA
Cousin Grace,USA
Freddie,USA
Lady Effigie,England
Roger Moresby,England
Cruikshank,England
Bronco Billy McCoy,USA
Antoinette Lily,USA
John Arlington,USA
Four men,unknown
Young woman,unknown
Angus Blake,UK
Lord Blanton,UK
Nora,Sweden
Fanny,Sweden
Sabina,Sweden
Karin,Sweden
Jacki,USA
Criminal,USA
Fiancée,USA
Young Woman,USA
Bullying Stripper,USA
Shohei Sugiyama,Japan
Masako,Japan
Chikage,Japan
Tamako Tamura,Japan
Tōkichi Hattori,Japan
Masahiro Tanaka,Japan
Toyoko Takahashi,Japan
Tomio Aoki,Japan
Major Ichiro Katsumiya,Japan
Professor Adachi,Japan
Dr. Ahmed,Iran
Etsuko,Japan
Astronaut Iwomura,Japan
Madeline Minot,France
Charles Thevenet,France
Paul Thevenet,France
Dupin,USA
Durand,France
Flaherty,USA
Admiral Harriman Nelson,USA
Captain Lee Crane,USA
Dr. Susan Hiller,USA
Dr. Miguel Alvarez,unknown
Commodore Lucius Emery,USA
Inspector Bergan,unknown
Emilio Zucco,unknown
Bugs Bunny,USA
Miss G,UK
Di Radfield,UK
Fiamma Coronna,Spain
Lung Wei,Unknown
Shirley Yu,Unknown
Lo Mang,Unknown
Chiang Sheng,Unknown
Lu Feng,Unknown
Xiao Quiang,Unknown
Kuo Chui,Unknown
Fu Sheng,Unknown
Kara Hui,Unknown
Ninja Assassin,Unknown
Policeman,Unknown
Innkeeper,Unknown
Maxim Sarafanov,unknown
Nikita,unknown
Susan,unknown
Lolita,unknown
Greg,USA
Bo,unknown
Japanese Soldier,Japan
Susan Evers,USA
Sharon McKendrick,USA
Mitch,USA
Maggie,USA
Vicky Robinson,USA
Youssef Soltane,Tunisia
Zineb,Tunisia
Turner,USA
John Harris,unknown
Ruth,unknown
Doctor Brown,unknown
Hawk,US
Grieves,US
Kennosuke,Japan
Iwasaki,Japan
Keiji,Japan
Ryoichi,Japan
Kozou,Japan
Taro,Japan
Jim Rainbolt,unknown
Shaun Garrett,unknown
McCracken,unknown
Doc Gates,unknown
Amos Gondora,unknown
Tita,unknown
Pope John Paul II,Poland
Angelo Barberini,Italian
Gino Barberini,Italian
Maria Barberini,Italian
Anna Barberini,Italian
Nino Paventi,Italian
Lina Paventi,Italian
Kim Levitt,USA
Hank,USA
Janice,USA
Detective Burt,USA
Ann,USA
Gus,USA
Lonnie,USA
Hartmut Mackowiak,Germany
Christa,Germany
Turkish Business Woman,Turkey
Hayat,Turkey
Captain Cliff Brandon,USA
Shu-Jen,China
Father Cairns,USA
Ellington,China
Min Htin Si,Myanmar
Wai La Thar,Myanmar
Moe Thout,Myanmar
Homicide Detective,USA
Killer,USA
Savitri,India
Surendra,India
Hana,Slovakia
Martin,Slovakia
Harry Palmer,UK
Anya,Russia
Leo Newbigen,UK
Col. Stok,Russia
General Midwinter,USA
Night Watchman,unknown
Teddy Boy 1,unknown
Teddy Boy 2,unknown
Teddy Boy 3,unknown
Teddy Boy 4,unknown
Nutan,India
Mithun Chakraborty,India
Mandakini,India
Ranjeet,India
Sadashiv Amrapurkar,India
Rajesh Khanna,India
Fokko,Netherlands
Dilara,Turkey
Pirita,Finland
Aslak,Finland
Local Shaman,Finland
Sibilla,Spain
Estoria,Spain
Iliana,Spain
Hedwick,Sweden
Maximilian de Winter,England
Mrs. Danvers,England
Mrs. de Winter,England
Jack,England
Rebecca,England
Nick O'Bannon,USA
Lori Milligan,USA
Janet Cunningham,USA
Hunt Wynorski,USA
George Lanter,USA
Andy Kewzer,USA
Samantha Lane,USA
Carter Daniels,USA
Nadia Monroy,USA
Seo In-ha,South Korea
Mun Hie-jae,South Korea
Kang Seong-ho,South Korea
Li Xunhuan,China
Bai Xiaosheng,China
A'fei,China
Directors,Unknown
Writers,Unknown
Producers,Unknown
Special Effects Creators,Unknown
Teenagers,Unknown
Vitya Sereda,Russia
Fyodor Lobanov,Russia
Dan Evans,USA
Ben Wade,USA
Byron McElroy,USA
Doc Potter,USA
Grayson Butterfield,USA
Tucker,USA
Charlie Prince,USA
William,USA
Zeke,USA
Reverend Dean Maitland,UK
Alma Lee,UK
Dr Henry Everard,UK
Phillip Trent,UK
Inspector Murch,Ireland
Sigsbee Manderson,UK
Margaret Manderson,UK
Venkat Subhramaniam,India
Perci Trachtenberg,UK
Shantanu,India
Sid,India
Aparna,India
Vikram,India
Abbas,India
Jim Ryan,Australia
Emily Ryan,Australia
Rose Ryan,Australia
Sergeant,Australia
Albert Yang,Australia
Albert's Wife,Australia
Michael Francke,USA
Michael's Brother,USA
Lieutenant Blanchard,USA
Johnny Cash,USA
Robbie Robertson,Canada
John Lennon,UK
Stephen Malkmus,USA
John McClane,USA
Holly McClane,USA
Richard Thornburg,USA
Colonel Stuart,Val Verde
General Ramon Esperanza,Val Verde
Captain Carmine Lorenzo,USA
Leslie Barnes,USA
Major Grant,USA
Guy,USA
Madeline,USA
Elena,USA
Paul,France
Daniel Trask,USA
Jane,USA
Dr. Robert Fortness,USA
Claire,USA
Jerry,USA
Binky Gay,USA
Mike,USA
Sallie Carr,USA
Eddie Hoke,USA
Marie,USA
Max Fischer,USA
Herman Blume,USA
Rosemary Cross,USA
Margaret Yang,USA
Joseph Fisher,Austria
David,Austria
Aleister Crowley,UK
Former Follower of Crowley,UK
Harry,USA
Astrachan,USA
Davis,USA
Grimes,USA
Sweet,USA
Charlie McCoy,USA
Guzman,USA
Ricca,USA
FBI Agent,USA
Pimp,USA
Dr. Laurience,unknown
Clare Wyatt,unknown
Clayton,unknown
Lord Haslewood,unknown
Dick Haslewood,unknown
Dr. Gratton,unknown
Lord Studholme,UK
Detectives,UK
Guests,[]
Elizabeth I of England,England
Robert Dudley,England
Lord Darnley,Scotland
Lord Moray,Scotland
David Riccio,Italy
Lord Bothwell,Scotland
Sir William Cecil,England
Charles Burns,USA
Art Spiegelman,USA
Françoise Mouly,France
Frank Miller,USA
Stan Lee,USA
Will Eisner,USA
Robert Crumb,USA
Harvey Pekar,USA
William M. Gaines,USA
Zippy the Pinhead,USA
Jack Stanfield,USA
Beth Stanfield,USA
Harry Romano,USA
Bill Cox (a.k.a. Bill Redmond),USA
Janet Stone,USA
Aldo Bondi,Italy
Baroness Sandra,Italy
Mr. Bing,Italy
Bus Driver Thorvald,Norwegian
County Clerk,Norwegian
Midwife,Norwegian
Gowda Saraswat Brahmins,India
Cesar Faz,Mexico
Padre Esteban,Mexico
Angel Macias,Mexico
Cool Papa Bell,USA
Marvin Lazar,USA
Kelly Leak,USA
E.R.W. Tillyard III,USA
Abe Bernstein,USA
Mustapha Rahim,USA
Emmannuelle Prevert,UK
Theodore Valentine,UK
Emile Prevert,France
Lyons,UK
Leyland,UK
Mrs Dangle,UK
Richmond,UK
Lord Chief Justice,UK
Harold Hump,UK
Theodore's Mother,UK
Tom Newcliffe,Unknown
Caroline Newcliffe,Unknown
Arthur Bennington,Unknown
Jan Gilmore,Unknown
Davina Gilmore,Unknown
Paul Foote,Unknown
Prof. Lundgren,Unknown
Pavel,Unknown
Joan,Canada
Ma Dawson,Canada
Tommy,Canada
Stormalong,Canada
Ted,USA
Dr. King,USA
Government Agent,USA
Jim Hawkins,England
Billy Bones,England
Dr. Livesey,England
Squire Trelawney,England
Captain Alexander Smollett,England
Long John Silver,England
Ben Gunn,England
Aleksey Teodorovic Vlassov,Soviet Union
DCI Allan Davies,USA
Philip Boyle,UK
Rachel,USA
Navy,USA
Lilli,USA
Byeon Gang-soe,Korea
Uncle Drosselmeier,Germany
Hans/Nutcracker,Germany
King,Sweden
Queen,Sweden
Princess Pirlipat,Sweden
Yegor,Russia
Princess Vera,Russia
Prince Serge,Russia
Nadja,Russia
Soldiers,Russia
Nicole,Canada
Lyosha,Soviet Union
Rich Businessman,unknown
Sana Azim,India
Aditya Garewal,India
Ash Corven,USA
Sarah,USA
James Brown,USA
Chuck D.,USA
Flavor Flav,USA
Master P.,USA
Chris Bridges,USA
Russell Simmons,USA
Ludacris,USA
Maxie Collier,USA
Charlie Parker,USA
Dr. Heywood R. Floyd,USA
Dr. David Bowman,USA
Dr. Frank Poole,USA
Dr. Smyslov,Russia
HAL 9000,USA
Lieutenant Joe Clemons,USA
Nick Charles,USA
Nora Charles,USA
Tommy Drake,USA
Phil Brant,USA
Buddy Hollis,USA
Fran Page,USA
Al Amboy,USA
Mitchell Talbin,USA
Kim Possible,USA
Ron Stoppable,USA
Wade Load,USA
Samurai Warrior (Yoroi),Japanese
Edvard,Norwegian
Jonas,Norwegian
Olav,Norwegian
Karl,Norwegian
Juliette,Unknown
Lars,Norwegian
Henrik,Norwegian
Colin,Norwegian
Peder,Norwegian
Kate Lloyd,Unknown
Dr. Sander Halvorson,Norwegian
Adam Finch,Norwegian
Carter,Unknown
Derek,Unknown
Griggs,Unknown
Matias,Unknown
Eleanor Spenser (Jane Edwards),USA
Tony Pearl,USA
Mike Scarlotti,USA
Martin Simms,USA
Sheriff Gene Autry,USA
Buck O'Keefe,USA
Tom O'Keefe,USA
Youth 1,Russian
Youth 2,Russian
Youth 3,Russian
Youth 4,Russian
Youth 5,Russian
Youth 6,Russian
Youth 7,Russian
Bill,fictional
Black Menace,fictional
Captain ,British
Dr. Maturin,Irish
French Captain,French
Commodore Joseph Smith,USA
"Lt. Joseph B. Smith, Jr.",USA
Betty Stuart,USA
Catesby Jones,USA
Lt. Guilford,USA
Joseph K. Mansfield,USA
Captain John Worden,USA
Captain Van Brunt,USA
John Ericsson,USA
Gideon Welles,USA
President Lincoln,USA
Jamini,India
Subhash,India
Ronny,USA
Beth,USA
Nick,USA
Geneva,USA
Zip,USA
Susan Warner,USA
Vijay,India
Asha,India
Anil,India
Mike,USA
Dave,USA
Steve,USA
Bill Masen,UK
Susan,UK
Tom Goodwin,UK
Karen,UK
America,USA
Maureen Brennan,USA
Karen Evans,USA
Adam Evans,USA
Lindsey Rutledge,USA
Pete Lachappelle,USA
Kasey Evans,USA
Nick Edwards,UK
Foster Wright,UK
Eve,UK
Tony,UK
Antonio Fraccini,Italy
John Sanders,USA
Emery,USA
Kelly,USA
Goons,unknown
Sheriff,USA
Mike Roark,USA
Simon Moore III,Scotland
Hank Cooper,USA
Donny Shotz,USA
Alex,USA
Dr. Gustav Stumpful,Germany
Jim Douglas,USA
Rupert,unknown
Jean-Paul,French
Marianne,French
Harry,British
Penelope,British
Inspector Lévêque,French
Major Surov,Russia
Diana,USA
Paul,Hungary
Wes McQueen,USA
Dave Rickard,USA
Fred Winslow,USA
Julie Ann Winslow,USA
Reno Blake,USA
Duke Harris,USA
Colorado Carson,USA
Pluthner,USA
Homer Wallace,USA
Randolph,USA
Aviva,USA
Mark,USA
Judah/Otto,USA
Mike Birbiglia,USA
Girlfriend,USA
American Woman,USA
Modern Man,India
Rembrandt,Netherlands
Frans Banning Cocq,Netherlands
Willem van Ruytenburch,Netherlands
Don Farmer,unknown
Christine,unknown
Kelly,unknown
Lynn,unknown
Aunt Agatha,unknown
Sophia,unknown
George,unknown
Oscar (the Clown),unknown
Mr. N,unknown
Shaggy,USA
Scooby-Doo,USA
Fred,USA
Daphne,USA
Velma,USA
Mr. Hubley,USA
Professor Svankmajor,USA
Winsor,USA
Tex,USA
Pampinea,Italian
Lorenzo,Italian
Count Dzerzhinsky,Italian
Gerbino,Italian
Derek,Cameroon
Sam,Cameroon
Werewolf,Unknown
Stepfather,Cameroon
Tom Owen,USA
Floyd Owen,USA
Dan Reasonover,USA
Helen Curtis,USA
Dr. Gleeson,USA
Joan Lasher,USA
Dr. Jim Crowley,USA
Brad McBain,Australia
Sir Michael Kent,Australia
Sprocket,Australia
Lisa,Australia
Judy Peabody,USA
Jerry Bates (Pop),USA
Curtis,USA
Danny,USA
Billingsley,USA
Johnny Lingo,Polynesia
Mahana,Polynesia
Caucasian Shopkeeper Harris,Caucasian
Char Aznable,Neo-Zeon
Bright Noa,Earth Federation
Amuro Ray,Earth Federation
Police Officer,Unknown
Unknown Serial Killer,Unknown
Ben Peterson,USA
Ed Blackburn,USA
Ellinson,USA
Robert Graham,USA
Harold Medford,USA
Pat Medford,USA
General O'Brien,USA
Crotty,USA
Julio,Caribbean
Bart,American
Nawab Badruddin,India
Gulshan Rai,India
Husn Bano,India
Javed,India
Amrit Rai,India
Savitri Rai,India
Dilip,India
Swami Vivekananda,India
Ramakrishna Paramahamsa,India
Mort Rainey,USA
Amy,USA
John Shooter,USA
Ted Milner,USA
Sheriff Dave Newsome,USA
Manuel Cueto,Argentina
Joaquín Góñez,Argentina
Roma,Argentina
Junior Healy,USA
Miss Hicks,USA
Murph,USA
Ben Healy,USA
Sarah,USA
Lila Duvane,USA
Tiffany,USA
Duke,USA
Corky,USA
Blade,USA
Mr. Burtis,USA
Mr. Peabody,USA
Big Ben Healy,USA
Scoutmaster Phlim,USA
Flyora,Byelorussian
Glasha,Byelorussian
Roubej,Byelorussian
German Sturmbannführer,German
Adolf Hitler,German
Lieutenant Harry Faversham,England
Ethne,England
Captain Jack Durrance,England
Nanguila,Mali
Nan Feng,China
Ding Bo,China
Teacher Chang,China
Woody,USA
Buzz,Unknown
Babalu,Indonesia
Julius Caesar,Italy
Pompey,Italy
Cleopatra VII,Egypt
Cato,Italy
Vercingetorix,Gaul
Marcus Porcius Cato,Italy
Brutus,Italy
Yosemite Sam,USA
Bugs Bunny,USA
Acrassicauda band members,Iraq
Lieutenant Benson,USA
Sergeant 'Montana',USA
Sergeant Killian,USA
Corporal Zwickley,USA
Sergeant Riordan,USA
Skipper Vollbeck,Germany
Horst,Germany
Kalle,Germany
Anna,Germany
Karin,Lithuania
Italian POW fisherman,Italy
Main character,India
Karma,USA
Dhondup,Tibet
Loga,Tibet
Susie Higgins,USA
Maggie Williams,USA
Fran Hobson,USA
Paul Barton,USA
Pete McCoy,USA
Dr. Andres Briones,Spain
Emilio Lacayo,Spain
Jane,USA
Sylvie,USA
Ivy,USA
Darrel,USA
Georgie,USA
Silas Crow,Canada
Frank Steelpost,Canada
Katie Maracle,Canada
Clarence Gaskill,USA
John Gray,USA
Sharon,USA
Tim,USA
Pablo,USA
Gus,USA
Bart,USA
King,USA
B.J. Hammer,USA
Mafia Members,Italy
B.J. Hammer's Girlfriend,USA
Commander Topov,Russia
Dr. Colin,USA
Next-Generation UniSol,N/A
Luc Deveraux,USA
Dr. Sandra Fleming,Switzerland
Andrew Scott,USA
Capt. Kevin Burke,USA
Moongaze Ginji,Japan
Foxy Croquette O-Gin,Japan
Crying Inumaru,Japan
Cold Badger Masa,Japan
Beefbowl Ushigoro,Japan
Hamburger Tetsu,Japan
Medium Hot Sabu,Japan
Frankfurter Tatsu,Japan
Crepe Mami,Japan
Baked Bean Pastry Amataro,Japan
Tokumitsu Shinada,Japan
Manager Kamiyama,Japan
Yulia Martynova,Russia
Film director,Russia
Jim Conroy,Australia
Linda Marsh,unknown
George,unknown
Ann Marie Scott,unknown
Drew,unknown
Mandy,unknown
Willie,unknown
Dr. Mark Chandler,unknown
Dixie,unknown
Christopher Rocket,USA
Anne,USA
Tom Rocket,USA
Jane Rocket,USA
Bobby,USA
Glenna,USA
Charles Napier,USA
Captain Jezebel Jack,Unknown
Isaburo Sasahara,Japan
Tatewaki Asano,Japan
Yogoro,Japan
Ichi,Japan
Damiel,angel
Cassiel,angel
Marion,Germany
Peter Falk,USA
Ray Quick,USA
Colonel Ned Trent,USA
May Munro,USA
Tomas Leon,South America
Joe Leon,South America
Jaa,Thailand
Balto,USA
Kodi,USA
Duke,USA
Boris,USA
Stella,USA
Jenna,USA
Rooster Cogburn,USA
Teenage girl,USA
Foghorn Leghorn,USA
Barnyard Dawg,USA
Beantik Rooster,USA
Josh Framm,USA
Jackie,USA
Patrick Sullivan,USA
Tom Stewart,USA
Emma,England
Anoop Chandran,India
Meena,India
Gatha,India
Peter Guitry,USA
Emmeline Guitry,USA
Robbie Guitry,USA
Father Frank Aubert,USA
Shekhar,India
Anand,India
Sethulakshmi,India
Keerthi,India
Kang Jae-kyung,South Korea
Choi Eun-whan,South Korea
Simran,India
Kiran Verma,India
Paul B. Issac,India
Devan,India
Sathish Menon,India
Emiliano Zapata,Mexico
Victoriano Huerta,Mexico
Francisco I. Madero,Mexico
Venustiano Carranza,Mexico
Felicity Merriman,USA
Jiggy Nye,USA
Felicity’s father,USA
Ben,USA
Felicity’s grandfather,USA
Elizabeth,USA
Dr. Grunbaum,Hungary
Heinie,Hungary
Valluvanar,India
Kamban,India
Vasuki,India
Banerjee,India
Shilpa,India
Theepori,fictional
Prem (Ashoka),India
Prime Minister,India
Amphitryon,Greek
Alkmene,Greek
Captain Augustus McCrae,USA
Captain Woodrow F. Call,USA
Joshua Deets,USA
Pea Eye Parker,USA
Bolivar,Mexico
Newt Dobbs,USA
Jake Spoon,USA
Sheriff July Johnson,USA
Elmira,USA
Dee Boot,USA
Clara,USA
Blue Duck,USA
Jessica Barrett,USA
Dimitri,unknown
Bob Parr,USA
Helen Parr,USA
Violet Parr,USA
Dash Parr,USA
Jack-Jack Parr,USA
Lucius Best,USA
Syndrome,USA
Buddy Pine,USA
Gazerbeam,USA
Ed Malloy,USA
Sam Crain,USA
Angel Chavez,Mexican American
David Blake,USA
Bernard Castle,USA
Abbe Nyle,USA
Sadık,Turkey
Hüseyin,Turkey
Office of Emergency Management Supervisor,USA
Bosko,USA
Honey,USA
Honey's Son,USA
Fred Flintstone,fictional
Barney Rubble,fictional
Great Gazoo,fictional
Wilma Slaghoople,fictional
Betty O'Shale,fictional
Chip Rockefeller,fictional
Roxie,fictional
Mick Jagged,fictional
Yoo Shi-eun,South Korea
Min Hyo-shin,South Korea
Mr. Goh,South Korea
Soh Min-ah,South Korea
Ricardo,Unknown
Jérôme,Unknown
Marchand,Unknown
Plante,Unknown
Anne Tremblay,Unknown
Preet Oberoi,India
Lajja Shankar Pandey,India
Professor Aman Varma,India
Home Minister,India
The Artist,Argentina
The Impoverished Middle-Class Couple,Argentina
Ntuku Makwena,South Africa
Lita,USA
Maurice Mansfield,USA
Young Doctor,USA
John Clayton,England
Alice Clayton,England
Tarzan,England
Binns,England
Kala,Africa
Professor Porter,England
Jane,England
Yukiko Tsuji,Japan
Chinni,India
Indu,India
Whitney Paine,USA
Augusten Burroughs,USA
Deidre,USA
Dr. Finch,USA
Neil Bookman,USA
Female Student,unknown
IT Students,unknown
Evil Phone Number 000-0000,unknown
Flesh,unknown
Evil Presence,unknown
Queen Frigid,unknown
Palamattathu Varghese Mappila,India
Christy,India
Joji,India
Stella,India
Meenakshi,India
Dr. Albert Balleau,unknown
Dr. Balleau's Wife,unknown
Dr. Balleau's Wife's Boyfriend,unknown
Dr. Balleau's Assistant Jondor,unknown
Mrs. D'Abondo,fictional
Furi,fictional
Oak the Tree,fictional
Molly McKay,USA
Buck McKay,USA
Susan Brookes,USA
Cadi,Welsh American
Preacher,USA
Village Sin-Eater,Welsh American
Russian Man,Russia
Pedophile in 'Broadway Rob',unknown
Executioners in 'Execution',unknown
Victim in 'Execution',unknown
Woman in 'Execution',unknown
Coroner in 'Autopsy',Japan
Cameraman in 'Autopsy',unknown
Tiivii,Inuit
Carole,Canadian
Kaki,Inuit
Tom,USA
Yoshiko,Japan
Elina,Fairytopia
Bibble,Fairytopia
Dandelion,Fairytopia
Laverna,Fairytopia
Azura,Fairytopia
Topaz,Fairytopia
Enchantress,Fairytopia
Ruby,Fairytopia
Amethyst,Fairytopia
Larkspur,Fairytopia
Hue,Fairytopia
Prince Nalu,Fairytopia
Dahlia,Fairytopia
Adolf Hitler,Germany
Heinrich Himmler,Germany
White Dragon,Unknown
Chicken Feathers,Unknown
Black Phoenix,Unknown
Second Prince Tian Yang,Unknown
Third Prince,Unknown
Lallo Di San Marciano,Italy
Bebe,Italy
Carlo,Italy
Vijay Khanna,India
Sher Khan,India
Teja,India
Mala,India
De Silva,India
Detective,USA
Officer Dennis Meechum,USA
Holly,USA
Cleve,USA
David Madlock,USA
Roberta Gillian,USA
Tom Gray,USA
Casey Gordon,USA
Skin Figures,N/A
Fruitcake Monologue,N/A
Night Time Couple,N/A
Dildoman Animated Characters,N/A
Body Contact Women,Sweden
Red Like Cherry Characters,N/A
On Your Back Woman! Wrestlers,N/A
Phone Fuck Lesbian Couple,N/A
Brown Cock Women,N/A
Flasher Girl and Joanna Rytel,Sweden
Authority Woman,N/A
Liberation of Men Characters,N/A
Come Together Individuals,N/A
Marianne Danielle,France
Baron Meinster,Transylvania
Baroness Meinster,Transylvania
Dr. Van Helsing,Unknown
Greta,Transylvania
Worthaboutapig,Celtic
Dwyfuc,Celtic
Smirgut the Fierce,Celtic
Fat Tant Sannie,South Africa
Em,South Africa
Lyndall,South Africa
Otto,South Africa
